ObjID,H_r,g-r,i-r,z-r
2014QN441,6.71,0.5676215702558829,-0.48647188022911136,-0.7639595107937098
2013SJ112,7.2,0.8807530087890165,-0.3526740777047461,-0.5474681885438168
2014WD602,7.74,0.4919231280864794,-0.3229256355322014,-0.5508349338742804
90377,1.5,1.24,0.78,0.53
c0,6.4,0.561958220561138,-0.2345728224373715,-0.3289618605076754
c1,8.7,0.561958220561138,-0.2345728224373715,-0.3289618605076754
c2,12.3,0.561958220561138,-0.2345728224373715,-0.3289618605076754
c3,14.1,1.004417144521696,-0.5001508674704667,-0.7328839196009653
1221,17.38,0.6071999999999989,-0.09779999999999944,-0.3879000000000019
719,15.59,0.5031999999999996,-0.2159000000000013,-0.35589999999999833
7,5.64,-6.4788,-0.5233999999999988,-7.173399999999999
4,3.25,0.3917999999999999,-0.46830000000000016,0.2182000000000004
